timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,event_class,source,risk_level,accel_mag,gyro_mag,jerk,braking_intensity,turn_sharpness,harsh_accel_flag,harsh_brake_flag,harsh_turn_flag,tilt_angle,impact_score
22-3-2023 19:49:2:159949,0.078554,-1.002476,0.35626,-0.050634,-0.029648,-0.008472,Safe-no-movement,kaggle,0,1.066794286210795,0.05928389869095992,0.1766061581648185,1.002476,0.008472,0,0,0,4.222829143670882,0.4974847315410516
22-3-2023 19:49:2:207946,-0.151371,-0.648008,0.040113,-0.063684,-0.038969,-0.009004,Safe-no-movement,kaggle,0,0.666660783662876,0.07520177413465721,0.40013350254791913,0.648008,0.009004,0,0,0,-13.12395517199302,0.4092648964699233
22-3-2023 19:49:2:252894,-0.994431,-0.494725,0.2892,-0.064483,-0.021126,-0.002346,Safe-no-movement,kaggle,0,1.1477292709458968,0.06789601520707972,0.4810684872830209,0.494725,0.002346,0,0,0,-60.04678856235651,0.623781059125389
22-3-2023 19:49:2:293976,-0.735765,-0.149837,0.988556,-0.051167,-0.032311,-0.004743,Safe-no-movement,kaggle,0,1.2413880243219684,0.06070056555749707,0.09365875337607155,0.149837,0.004743,0,0,0,-36.3485178045423,0.542863005408858
22-3-2023 19:49:2:341971,-0.659123,-0.676749,-0.122749,-0.057558,-0.034708,-0.003944,Safe-no-movement,kaggle,0,0.9526277631535836,0.06732847662022362,0.2887602611683848,0.676749,0.003944,0,0,0,-43.780686709493565,0.487877726598016
22-3-2023 19:49:2:381976,-1.272258,-0.044454,0.078434,-0.053297,-0.018196,0.000583,Safe-no-movement,kaggle,0,1.2754483404026993,0.056320551435510645,0.3228205772491157,0.044454,0.000583,0,0,0,-85.94663909847874,0.6239216747664676
22-3-2023 19:49:2:429969,-0.707024,-0.322281,0.519125,-0.048237,-0.033909,-0.00208,Safe-no-movement,kaggle,0,0.9344724421629564,0.058999617371640646,0.34097589823974284,0.322281,0.00208,0,0,0,-49.165572935447976,0.4937816315485976
22-3-2023 19:49:2:478006,-1.205196,-0.149837,0.32752,-0.046107,-0.041366,-0.002879,Safe-no-movement,kaggle,0,1.2578624230753537,0.06201040272405913,0.32338998091239723,0.149837,0.002879,0,0,0,-73.36146609323721,0.6187650843210784
22-3-2023 19:49:2:517943,-0.95611,-0.149837,0.595768,-0.037584,-0.007277,0.005111,Safe-no-movement,kaggle,0,1.1364580803940811,0.038621679222944204,0.12140434268127254,0.149837,0.005111,0,0,0,-57.27838113397628,0.5025910387288974
22-3-2023 19:49:2:565936,-1.071073,0.357915,0.950235,-0.037318,-0.011538,0.007241,Safe-no-movement,kaggle,0,1.4758885709222767,0.03972644772692368,0.3394304905281955,0.0,0.007241,0,0,0,-46.52827675471916,0.7041025098454464
22-3-2023 19:49:2:613930,-0.678284,0.453718,-0.640081,-0.038916,-0.025121,0.003513,Safe-no-movement,kaggle,0,1.0371272317035167,0.04645278103623075,0.4387613392187599,0.0,0.003513,0,0,0,-40.844071864154095,0.5604151287579039
22-3-2023 19:49:2:661941,-0.831567,-0.379762,-0.716724,-0.041579,-0.00994,0.002714,Safe-no-movement,kaggle,0,1.161643725205366,0.04283669731666996,0.12451649350184923,0.379762,0.002714,0,0,0,-45.71320963773638,0.5148634473277022
